Code BDDP;EMS
47215920BB00;EOLANE
79129764;COFIDUR
79133641;COFIDUR
87073874V05;COFIDUR
BC811A04-50;TRONICO
C17061AB;COFIDUR
C17061BA;COFIDUR
C17064AA;COFIDUR
C17066AA02;TRONICO
C17070BB;TRONICO
C17078AA;COFIDUR
C17086BB;COFIDUR
C17087BB;COFIDUR
C17092WA02;TRONICO
C17093BA01;TRONICO
C17100AA01;COFIDUR
C17111BA;COFIDUR
C17140GA00;COFIDUR
C17149JA02;SANMINA
CS194A02-04;SELHA
DC40A00-00;TRONICO
E17004AC;COFIDUR
E17007FA;COFIDUR
E17030BA;TRONICO
E17031BA;TRONICO
E17168BC;SELHA
E17169BB;TRONICO
E17179BB;SANMINA
E17199AD;TRONICO
E17200GA;COFIDUR
E17201GA;COFIDUR
E17205FA;COFIDUR
E17209AA;TRONICO
E17216BC;TRONICO
E17233BB;COFIDUR
E17249BC;SELHA
E17253KA;COFIDUR
E17253MA;COFIDUR
E17254KA;COFIDUR
E17254MA;COFIDUR
E17263CA;TRONICO
E17280AC;TRONICO
E17285AA;COFIDUR
E17286AA;SELHA
E17287AA;SELHA
E17294AC06;SANMINA
E17294BA04;SANMINA
E17294EA09;SANMINA
E17294FA00;SANMINA
E17331AA02;TRONICO
E17344AA;COFIDUR
E17346BA;TRONICO
E17347BC;SELHA
E17351AC;COFIDUR
E17356AA;SELHA
E17357AA;TRONICO
E17375AA;TRONICO
E17382AB;SELHA
E17382BA;SELHA
E17382CA;SELHA
E17382EA;SELHA
E17382FA;SELHA
E17382KA;SELHA
E17382MA;SELHA
E17382NA;SELHA
E17382PA;SELHA
E17382QA;SELHA
E17389BA;SELHA
E17389GA;SELHA
E17389KA;SELHA
E17389LA;SELHA
E17389MD;SELHA
E17389ME;SELHA
E17389NA;SELHA
E17389QA;SELHA
E17389TA;SELHA
E17389UA;SELHA
E17395BA;COFIDUR
E17395CA;COFIDUR
E17395EA;COFIDUR
E17395FA;COFIDUR
E17395GA;COFIDUR
E17397CA;COFIDUR
E17397FA;COFIDUR
E17397JA;COFIDUR
E17399BD;COFIDUR
E17406AA;COFIDUR
E17413CA;SANMINA
E17415CA;TRONICO
E17430AB;SELHA
E17440AA;TRONICO
E17476CA;TRONICO
E17478CA;TRONICO
E17478DA;TRONICO
E17478FA;TRONICO
E17516AA;TRONICO
E17517LA;TRONICO
E17555AB;COFIDUR
E17555DA;COFIDUR
E17772AAPB;TRONICO
E17888AA;COFIDUR
E17894BC04;TRONICO
E17894FC03;TRONICO
E17894GA01;TRONICO
E17894JB03;TRONICO
E17894KB01;TRONICO
E17894LA01;TRONICO
E17894MB02;TRONICO
E17894NA01;TRONICO
E17894PA01;TRONICO
E17894RA01;TRONICO
E17894SA01;TRONICO
E17894TB01;TRONICO
E17894UB01;TRONICO
E17894WA01;TRONICO
E17895AA;COFIDUR
E17922CA;TRONICO
E17948EA02;SELHA
E17966AA;SELHA
E17971AB01;TRONICO
E17975AA01;TRONICO
E17982BA;COFIDUR
E17983XX;COFIDUR
E17986BA;TRONICO
E17988AA;SELHA
E17988BA;SELHA
E17988DA;SELHA
E17990BA;COFIDUR
E17995BA;SANMINA
E18394AA;C-MAC
E19764AA;COFIDUR
E19764BA;COFIDUR
E36018FB01;COFIDUR
E36018FB01PA04;TRONICO
E36036AA;COFIDUR
E36047AA01;SANMINA
E36047BA01;SANMINA
E36048AB;COFIDUR
E36049AA01;COFIDUR
E36062AA01;SANMINA
E36067AA01;SANMINA
E36067BA01;SANMINA
E36089BA01;COFIDUR
E36090;COFIDUR
E36094BA;SANMINA
E36118AA;SANMINA
E36122AA;COFIDUR
E36142AB;COFIDUR
E36145AA;COFIDUR
E36154AA;COFIDUR
E36167CA01;SANMINA
E36167FA01;SANMINA
E36168BA01;SANMINA
E36170BA;SANMINA
E36170CA;SANMINA
E36170DA;SANMINA
E36170EA;SANMINA
E36170FA;SANMINA
E36170GA;SANMINA
E36188FA01;SANMINA
E36200AB02;COFIDUR
E36218AA01;SANMINA
E36234AA;SANMINA
E36255AA;TRONICO
E36255AA01;TRONICO
E36303AA01;SANMINA
E36310XX;TRONICO
E36318XX;TRONICO
E36319XX;TRONICO
E36336AA;SANMINA
E36373XX;TRONICO
E44355AA01PA01;SANMINA
E44932XX;SANMINA
F1280310;COFIDUR
F1285875;COFIDUR
F1287258;TRONICO
F1287410;THALES MICROELECTONICS
F1287521;TRONICO
F1287524;TRONICO
F1287525;TRONICO
F1287664;TRONICO
F1288506;TRONICO
F1521600;COFIDUR
H1280182;COFIDUR
H1280336;TRONICO
H1280436;TRONICO
H1280471;SELHA
H1280520;COFIDUR
H1280532;COFIDUR
H1280593;TRONICO
H1280594;TRONICO
H1280595;TRONICO
H1280596;TRONICO
H1280599;TRONICO
H1280610;COFIDUR
H1280642;COFIDUR
LOGISTIQUE;COFIDUR
MAINTENANCE;COFIDUR
NSP;Ne sais pas
PI474B51-00;TRONICO
PI474B52;TRONICO
PI474B53-00;TRONICO
PI475A00;TRONICO
U431BAM01;SELHA
U431DAM01;SELHA
U489AAM01;SELHA
U489ABM02;SELHA
U519AAM02;SELHA
U519AAM03;SELHA
U523AAM04;SELHA
U542AAM01;SELHA
